序号,名称,规格型号,单位,不含税价,备注,地区,发布时间,期数(类别),专业
1,钢筋HPB300,Φ6,T,3700,,固始,2024/2/15,固始2024年第2期信息价,房建
2,钢筋HPB300,Φ8,T,3701,,固始,2024/2/15,固始2024年第2期信息价,房建
3,钢筋HPB300,Φ10,T,3702,,固始,2024/2/15,固始2024年第2期信息价,房建
4,钢筋HPB300,Φ12-22,T,3703,,固始,2024/2/15,固始2024年第2期信息价,房建
13,砼,C15,M3,320,,固始,2024/2/15,固始2024年第2期信息价,房建
14,砼,C20,M3,340,,固始,2024/2/15,固始2024年第2期信息价,房建
15,砼,C25,M3,351,,固始,2024/2/15,固始2024年第2期信息价,房建
16,砼,C30,M3,370,,固始,2024/2/15,固始2024年第2期信息价,房建
17,砼,C35,M3,385,,固始,2024/2/15,固始2024年第2期信息价,房建
18,砼,C40,M3,405,,固始,2024/2/15,固始2024年第2期信息价,房建
19,砼,C45,M3,430,,固始,2024/2/15,固始2024年第2期信息价,房建
20,砼,C50,M3,470,,固始,2024/2/15,固始2024年第2期信息价,房建
